shipment_id,customer_id,product_id,origin_code,destination_code,declared_value_eur,status,shipment_date
DHL-SG-10001,CUST-001,PROD-001,SG,DE,12500,CUSTOMS_CLEARANCE,2026-09-20
DHL-SG-10002,CUST-002,PROD-002,SG,US,2300,IN_TRANSIT,2026-09-18
DHL-SG-10003,CUST-003,PROD-003,GB,DE,980,DELIVERED,2026-09-12
DHL-SG-10004,CUST-004,PROD-004,JP,AU,6100,CUSTOMS_CLEARANCE,2026-09-19
DHL-SG-10005,CUST-005,PROD-005,AU,DE,18900,IN_TRANSIT,2026-09-17
DHL-SG-10006,CUST-006,PROD-006,DE,SG,4250,DELIVERED,2026-09-10
DHL-SG-10007,CUST-007,PROD-007,SG,JP,720,CUSTOMS_CLEARANCE,2026-09-20
DHL-SG-10008,CUST-008,PROD-008,US,GB,3400,IN_TRANSIT,2026-09-18
DHL-SG-10009,CUST-001,PROD-009,SG,US,7800,DELIVERED,2026-09-09
DHL-SG-10010,CUST-002,PROD-010,SG,DE,1500,CUSTOMS_CLEARANCE,2026-09-20
DHL-SG-10011,CUST-003,PROD-001,GB,JP,11200,IN_TRANSIT,2026-09-17
DHL-SG-10012,CUST-004,PROD-002,JP,US,2750,DELIVERED,2026-09-08
DHL-SG-10013,CUST-005,PROD-003,AU,GB,1200,IN_TRANSIT,2026-09-16
DHL-SG-10014,CUST-006,PROD-004,DE,SG,5400,CUSTOMS_CLEARANCE,2026-09-19
DHL-SG-10015,CUST-007,PROD-005,SG,AU,21000,IN_TRANSIT,2026-09-18
DHL-SG-10016,CUST-008,PROD-006,US,DE,3800,CUSTOMS_CLEARANCE,2026-09-20
DHL-SG-10017,CUST-001,PROD-007,SG,GB,660,DELIVERED,2026-09-11
DHL-SG-10018,CUST-002,PROD-008,SG,JP,2900,IN_TRANSIT,2026-09-17
DHL-SG-10019,CUST-003,PROD-009,GB,US,8600,CUSTOMS_CLEARANCE,2026-09-19
DHL-SG-10020,CUST-004,PROD-010,JP,DE,1700,IN_TRANSIT,2026-09-18
